c,first,second,third
0.25,0,53,47
0.5,0,53,47
0.75,0,48,52
1.0,0,46,54
1.5,0,59,41
2.0,0,55,45
4.0,0,51,49
6.0,0,47,53
8.0,0,45,55
10.0,0,54,46
20.0,0,42,58
50.0,0,52,48
100.0,0,54,46
